Stat_Category,Team,Value,Source
WR Rec Yards,Bears,623.0,Last5 Yds
WR Rec Yards,Jets,622.0,Last5 Yds
WR Rec Yards,Texans,580.0,Last5 Yds
WR Rec Yards,Vikings,571.0,Last5 Yds
WR Rec Yards,Eagles,563.0,Last5 Yds
WR Rec Yards,Bills,533.0,Last5 Yds
WR Rec Yards,49ers,515.0,Last5 Yds
WR Rec Yards,Steelers,497.0,Last5 Yds
WR Rec Yards,Chargers,473.0,Last5 Yds
WR Rec Yards,Dolphins,463.0,Last5 Yds
WR Rec Yards,Browns,454.0,Last5 Yds
WR Rec Yards,Commanders,451.0,Last5 Yds
WR Rec Yards,Saints,400.0,Last5 Yds
WR Rec Yards,Bengals,391.0,Last5 Yds
WR Rec Yards,Seahawks,342.0,Last5 Yds
WR Rec Yards,Patriots,338.0,Last5 Yds
TE Rec,Bengals,38.0,Last5 Yds
TE Rec,Broncos,38.0,Last5 Yds
TE Rec,Buccaneers,37.0,Last5 Yds
TE Rec,Steelers,35.0,Last5 Yds
TE Rec,Texans,33.0,Last5 Yds
TE Rec,Cardinals,31.0,Last5 Yds
TE Rec,Titans,30.0,Last5 Yds
TE Rec,Browns,30.0,Last5 Yds
TE Rec,Dolphins,28.0,Last5 Yds
TE Rec,Seahawks,27.0,Last5 Yds
TE Rec,Cowboys,27.0,Last5 Yds
TE Rec,49ers,26.0,Last5 Yds
TE Rec,Bears,26.0,Last5 Yds
TE Rec,Chiefs,26.0,Last5 Yds
TE Rec,Jaguars,26.0,Last5 Yds
TE Rec,Patriots,25.0,Last5 Yds
TE Rec,Rams,24.0,Last5 Yds
TE Rec,Commanders,23.0,Last5 Yds
TE Rec,Chargers,23.0,Last5 Yds
TE Rec,Lions,23.0,Last5 Yds
TE Rec,Colts,23.0,Last5 Yds
TE Rec,Falcons,22.0,Last5 Yds
TE Rec,Eagles,22.0,Last5 Yds
TE Rec,Raiders,21.0,Last5 Yds
TE Rec,Vikings,21.0,Last5 Yds
TE Rec,Jets,20.0,Last5 Yds
TE Rec,Ravens,20.0,Last5 Yds
TE Rec,Panthers,19.0,Last5 Yds
TE Rec,Packers,18.0,Last5 Yds
TE Rec,Saints,16.0,Last5 Yds
TE Rec,Bills,15.0,Last5 Yds
TE Rec,Giants,12.0,Last5 Yds
TE Rec Yards,Bengals,554.0,Last5 Yds
TE Rec Yards,Buccaneers,428.0,Last5 Yds
TE Rec Yards,Broncos,363.0,Last5 Yds
TE Rec Yards,Browns,344.0,Last5 Yds
TE Rec Yards,Cardinals,343.0,Last5 Yds
TE Rec Yards,Steelers,342.0,Last5 Yds
TE Rec Yards,Titans,336.0,Last5 Yds
TE Rec Yards,Texans,318.0,Last5 Yds
TE Rec Yards,Commanders,310.0,Last5 Yds
TE Rec Yards,Lions,302.0,Last5 Yds
TE Rec Yards,Seahawks,296.0,Last5 Yds
TE Rec Yards,Cowboys,277.0,Last5 Yds
TE Rec Yards,49ers,261.0,Last5 Yds
TE Rec Yards,Dolphins,255.0,Last5 Yds
TE Rec Yards,Chargers,255.0,Last5 Yds
TE Rec Yards,Jets,246.0,Last5 Yds
TE Rec Yards,Bears,230.0,Last5 Yds
TE Rec Yards,Falcons,223.0,Last5 Yds
TE Rec Yards,Chiefs,223.0,Last5 Yds
TE Rec Yards,Bills,217.0,Last5 Yds
TE Rec Yards,Patriots,215.0,Last5 Yds
TE Rec Yards,Vikings,211.0,Last5 Yds
TE Rec Yards,Jaguars,206.0,Last5 Yds
TE Rec Yards,Colts,202.0,Last5 Yds
TE Rec Yards,Raiders,186.0,Last5 Yds
TE Rec Yards,Eagles,172.0,Last5 Yds
TE Rec Yards,Rams,171.0,Last5 Yds
TE Rec Yards,Ravens,164.0,Last5 Yds
TE Rec Yards,Giants,163.0,Last5 Yds
TE Rec Yards,Panthers,163.0,Last5 Yds
TE Rec Yards,Saints,157.0,Last5 Yds
TE Rec Yards,Packers,151.0,Last5 Yds
